0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
9,130026,120038,125042,106055,110062,109056,120026,175033,116047,112054,110056,114054,111059,112076,115066,112054
9,110012,124020,111066,106093,111074,108036,118086,128041,109049,110054,106061,115056,107058,111070,102070,108053
9,125173,110062,110045,112063,106054,102044,141052,120255,113043,110064,111039,108056,106062,105053,105063,114061
9,113036,133024,113042,141022,109068,107040,116041,135029,108045,107062,112059,116040,109063,106050,110041,133020
9,117056,113035,106069,110055,111034,138013,106031,124023,109050,107061,111019,102060,109062,109066,116053,111055
9,130020,108044,120255,118255,146078,120255,119255,120040,108071,109058,106044,111070,108063,111056,108058,104066
9,110196,110249,10081,160136,119153,125255,168093,111149,106044,108048,106042,101050,107052,105049,106054,108039
9,124204,150085,146,154144,160168,115064,140008,110019,109063,109056,109057,120029,125037,105063,109070,122042
9,110249,122255,146238,122255,120255,152102,131242,178108,109051,107048,108059,120037,110053,102069,112042,109049
9,112237,119255,108043,110044,104030,120036,12012,81026,110058,105056,104058,109056,107053,107052,103047,108059
9,114083,116041,106077,110117,127155,131077,130120,172095,106057,106051,106073,109065,108073,107058,108062,109065
9,116029,108055,113043,115109,128255,122255,123255,169236,109075,110059,106062,111055,105060,105070,107072,109065
9,125022,116042,108149,114098,105146,112244,141035,158090,110049,111057,105054,111041,106068,106068,111054,110055
9,148070,122255,125221,160075,157127,115139,108171,170127,107052,109057,110047,125027,107058,108063,107068,127027
9,114069,107105,109234,114248,142136,120028,132017,123035,111063,108072,105088,109069,110069,111072,112070,112073
9,120038,111059,107063,115060,120028,111057,111051,116046,111062,107070,109056,110072,105065,111064,111083,112066
9,110057,112202,113123,125255,113154,111040,135046,122048,109059,105073,109079,107079,109074,111083,112077,110077
10,98151,98161,97154,101156,99160,101192,102172,101146,100168,99168,100171,100169,100169,99167,102163,100170
10,99225,99241,0,0,0,0,99227,99235,101252,99255,100255,101255,99255,102255,101251,100245
10,0,0,0,0,0,0,0,0,99225,99255,99252,99252,99249,99252,102247,101251
10,100234,104252,105235,101255,98252,99241,99239,98255,98242,99253,99249,100245,100255,100252,101252,100255
10,99200,98221,99224,0,0,97170,98178,97206,99226,99245,98251,99255,99255,99255,101248,99247
10,0,0,0,0,0,0,0,0,99241,98229,98250,99249,99252,99249,99255,99214
10,99179,98208,0,0,0,0,96171,97199,99222,98235,99250,99252,98252,99252,100252,98243
10,0,0,0,0,0,0,0,0,98248,98253,99255,98255,99255,98255,101246,100255
10,98210,98248,99255,0,0,99235,98235,96143,99255,99249,99250,98252,99252,100249,101255,100252
10,0,0,0,0,0,0,0,0,98250,99251,98255,101255,100255,101248,96222,100226
11,0,0,0,0,0,0,0,0,96137,93111,95073,94130,96118,102166,99126,103152
11,98042,42018,30037,91070,37036,90016,90019,101056,93131,95123,94156,96134,100191,99157,97143,94141
11,87074,97182,92127,97127,97105,101137,98114,82107,97134,97143,92123,94145,101129,97143,94140,94134
11,94056,94090,90073,91087,94091,93016,90044,96076,92106,96129,94096,96133,94124,91121,94140,93139
11,96156,95129,94113,94121,98128,97107,92092,96138,95146,95127,96133,96146,94140,90113,95140,98106
11,71018,96117,99147,99148,91053,89054,97117,100099,95127,95140,96127,92123,93136,93131,83066,95107
11,81012,101091,101048,100141,100095,97053,106152,93056,94128,97133,90132,92115,91108,91119,93144,95089
11,97103,95138,99156,96191,96161,101146,97116,94116,95130,99147,96140,94130,94110,95128,97139,98158
11,98129,94126,91149,47029,104149,95045,36021,86103,94112,94113,96148,97132,96144,96143,96133,95131
11,95121,94129,97122,103163,95120,95124,99140,96114,95141,91121,96096,99119,96140,85052,93137,98109
11,90036,29028,91037,30050,96081,25035,104033,99083,96119,95097,93110,93124,94106,89056,97105,93104
11,98112,96129,98127,94102,95104,90058,97111,96102,95105,95124,93141,87072,90072,96109,94122,98088
11,98120,94122,0,0,0,0,96109,96092,97122,96110,93143,86065,88070,93122,97126,97107
12,28187,28205,30250,28218,29180,27163,28152,28183,29196,28187,29181,26208,29215,29189,32205,28234
12,26189,30210,28216,28227,30172,30129,29148,29199,28191,29161,28180,26238,31194,31170,29205,29228
12,28171,26223,27182,29181,26144,29110,29159,27184,29132,28145,29180,28175,30155,28167,30180,29164
12,24137,28138,34146,28165,33147,27140,31098,26167,31140,31140,31153,27175,31166,30151,28233,27168
12,25150,28159,30188,28180,31132,28113,28156,29202,27167,28135,32176,28175,27130,29146,28156,29180
12,26129,35075,38111,31125,29167,29174,27189,28158,29150,29148,28163,27157,29144,31137,30166,29176
12,37060,36093,29049,43045,28186,27174,28154,27126,28148,31138,29150,28147,32142,29148,29172,29154
12,11255,27255,29176,31098,44040,31103,28055,10245,31142,30136,31152,31177,29152,29166,28183,29145
12,50069,27141,36129,30179,38109,80219,78174,25212,29117,29130,29140,29151,30146,31170,31165,29166
12,24181,27190,30161,29120,35127,34095,25150,26190,25168,30144,33168,29148,29197,30163,30190,27091
12,27153,28172,30166,45124,40255,43211,56081,29145,31138,29149,29158,27197,29155,29158,28153,27173
12,31100,33246,26201,94132,56092,39074,48052,16255,26113,30093,31109,31115,30117,32110,26137,42094
12,27142,27158,27142,27112,28100,31100,25142,26133,31089,26128,28104,30124,27123,28089,28115,27123
12,26143,28131,27140,25155,28171,27160,27184,25177,29074,31083,30089,30107,29100,27091,28098,26106
12,27142,30147,28154,66035,28094,29101,27102,32152,29126,28116,31145,29164,28201,29149,27148,26147
12,42096,29175,29165,29144,29145,31094,41091,45098,28176,29114,29140,29171,29143,31129,29143,28147
12,27127,29151,29147,28149,30158,28170,28169,28174,27122,28138,29152,28148,29123,29151,28170,27115
