0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
6,1000050,60,56,1052,47,2001074,2001068,1000065,1000063,1001082,1062,53,1000044,1001049,1001049,1052,1000044,1000050,2001051,1052,1000062,2001045,46,2001051
6,3001060,60,1000050,89,1000074,48,1059,2001069,1062,100,54,48,1001049,1001061,1000056,58,1000044,1000050,54,1000056,1000050,2000054,1000042,49
6,54,1062,1001060,1000050,1000065,1000063,54,1000070,60,60,2001082,1062,1001041,1000050,1001060,1039,5056,48,1000050,1052,1000050,2001050,1000044,2001046
7,80000001,42002009,54008010,52002002,48001004,41000001,31001000,28000000,28000000,38000000,65001001,24000000,52000000,82018018,82015014,84014014,63002000,56000000,70009007,67006002,54000000,70013012,48000000,46000000
7,36000000,179043038,41000002,48000003,48000002,53004010,70014013,37000000,39000001,140027037,33000001,27002000,63008008,65008007,85015015,80016012,76012008,62001001,66003003,64003001,69006002,56000000,59002003,48000000
7,140005001,117033038,51001005,59004006,64011014,50000004,72014012,59008011,24000000,15000008,69000000,27001001,55005005,77015012,78014013,83013013,71011015,67005005,69003004,68007003,63003001,60002001,48000000,55001001
7,40000005,64004005,46002010,51002002,35000000,120000001,65001000,54000005,65001001,31001001,38001005,43001011,78017018,84020018,94020018,64003001,65004002,52000000,60003004,74006001,61001001,62002003,48000000,65006004
7,36000000,129015016,66000000,59001000,47000000,59007010,64005009,80019017,80018018,100024027,38000000,74000000,90018018,81013010,77010009,90016012,68005001,69004003,66000001,82007010,83006003,62000000,67002001,64000000
7,85000002,53001001,58005012,72008009,55001001,51001003,73019026,77022025,71014019,73004011,54000000,83006018,78012013,96023019,98023021,81011008,91021018,64000001,75006003,69002001,92017018,71001001,80009005,85038041
7,42001006,151008011,92001002,57000000,51000000,76001001,59004005,57000001,90033036,68011014,61007013,55010017,67005011,74007006,89015015,84017014,59001000,76011006,67003002,57001000,63000000,78010005,66001000,73007006
7,59004020,65000002,66001001,49000002,55000000,55001001,48000000,66009020,37001001,31000001,43002009,30000000,87023019,64010010,62005004,83018017,99030033,72009005,78014013,73010006,74009008,73010006,68006006,71010008
7,28000000,49000000,164041038,48001001,35000000,52007010,72019020,71017017,99035035,82025028,54010018,46001007,68007003,88021018,82015012,77013012,76008005,69008006,66007003,68007003,83015010,73009005,63003003,68009007
7,80007013,47004013,54004008,52006005,44000000,50002008,64010010,60010010,75020023,62015021,47008016,22001004,56000000,80019015,86022018,93026025,74011007,58002001,62004000,66004001,69007003,86029029,60003004,63003001
7,25000000,132038043,51001003,79000001,90002001,44000000,49001002,101020015,90037037,52000002,66002014,47000002,100032026,94027024,116039036,104032025,107031025,89026025,85020019,97027024,88021019,85018015,110046046,77017017
7,45000000,59000000,47000001,107028086,32000001,38000000,53001001,54000005,56004008,57000003,21000002,45000000,70003004,67003002,67002001,56000000,58001000,51000000,54000000,60000000,56000000,54000000,56000000,52000000
7,43002010,50001002,43001002,46000000,28000000,55000000,71001002,32000001,57000002,59001000,61002000,64007011,70007007,66004004,89012010,65001000,50000000,56000000,53000000,50000000,53000000,59001000,50000000,54000000
7,42000008,43000000,106015028,119003001,46000000,38000000,44000001,37000000,69003005,50001003,22001000,88005004,61001001,64000000,74009008,72005004,52000000,51000000,54000000,57001000,54000000,52000000,68007005,50000000
7,62032045,57018033,57026037,43021026,59020022,69033043,74040047,122083081,108066061,69036042,21000002,111060077,85048050,98059067,99058055,99061063,80040041,81046050,72034034,67035041,64032033,74036037,70035032,68031027
7,73029032,29002006,46007015,47020029,51031051,57026027,55024025,92051052,83046050,72042053,48023038,103048044,85049047,91055062,102065065,95052051,76040046,82046046,88047046,84046041,71034032,52016019,58025029,64027029
